"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Recent trends in pharmacuetical reverse engineering","https://scispace.com/paper/recent-trends-in-pharmacuetical-reverse-engineering-kwnogm924e6a","2018","Repository","","","10.5281/zenodo.2530571","","&lt;p&gt;According to the definition established by the FDA, a generic drug is &ldquo;a drug product which is comparable to a reference listed drug (RLD) product in dosage form, strength, route of administration, quality, performance characteristics, and intended use&rdquo;. Rigorous rules and regulations pertaining to abbreviated new drug application (ANDA) submissions are complex and the generic drug industry strives to meet these regulations to obtain FDA&rsquo;s approval. And being the &ldquo;first to file&rdquo; is the most fundamental principle in the generics business because several companies compete to create generics of successful products going off patent. Therefore, generics companies must be highly skilled and disciplined in product development and achieving bioequivalence&mdash;the most critical development area.&lt;/p&gt; ",""
"Recent trends in pharmacuetical reverse engineering","https://scispace.com/paper/recent-trends-in-pharmacuetical-reverse-engineering-dh5t1aepha3r","2019","Repository","","","10.5281/zenodo.2530570","","According to the definition established by the FDA, a generic drug is “a drug product which is comparable to a reference listed drug (RLD) product in dosage form, strength, route of administration, quality, performance characteristics, and intended use”. Rigorous rules and regulations pertaining to abbreviated new drug application (ANDA) submissions are complex and the generic drug industry strives to meet these regulations to obtain FDA’s approval. And being the “first to file” is the most fundamental principle in the generics business because several companies compete to create generics of successful products going off patent. Therefore, generics companies must be highly skilled and disciplined in product development and achieving bioequivalence—the most critical development area. ",""
"Reverse Engineering and Technological Innovation","https://scispace.com/paper/reverse-engineering-and-technological-innovation-n9ncimr9uzex","","","","WU Di","10.3969/j.issn.1673-1891.2007.04.016","","This passage mainly introduced the processes and strategies of reverse design and reverse engineering and illustrated the importance of reverse design in a competitive market via discussing the association between reverse and innovation.","This study explores reverse engineering and technological innovation, highlighting the processes and strategies of reverse design and its importance in competitive markets, emphasizing the association between reverse engineering and innovation."
"Appropriability strategy in assessing future business development. Case: wireless communication technology","https://scispace.com/paper/appropriability-strategy-in-assessing-future-business-31nhoooqjr","2004","Journal Article","International Journal of Learning and Intellectual Capital","Pia Hurmelinna
Jukka Bergman
Ari Jantunen","10.1504/IJLIC.2004.005072","","Companies need abilities to sense and seize new opportunities as well as to reconfigure and protect knowledge assets, competences, complementary assets and technologies in order to achieve sustainable competitive advantage. Utilising the scenario process where sharing existing knowledge enhances recognising new possibilities, finding and creating future-oriented knowledge assets can be notably improved. This process produces both tacit and explicit knowledge. Since competitive advantage can only be achieved by using hard-to-imitate scarce assets, creating barriers for imitation becomes essential, especially when codified knowledge is considered. Thus, taking appropriability strategies into account from the very beginning of the scenario process is an essential part of using and creating the dynamic capabilities for the companies participating in the process. In this study, the combination of the scenario process and appropriability strategies is examined in the field of wireless communication technology, and it is illustrated by a case example of varying partners forming a knowledge network.","In this article, the combination of the scenario process and appropriability strategies is examined in the field of wireless communication technology, and it is illustrated by a case example of varying partners forming a knowledge network."
"The Implementation IT Risk Management of Hardware and Software Obsolescence by using ISO27001/ISO 27002 in Pharmaceutical Industry","https://scispace.com/paper/the-implementation-it-risk-management-of-hardware-and-3xbfs6igyw","2019","Journal Article","","Heri Rukmana","10.33555/ACMIT.V3I1.32","","Risk Management is a discipline that exists to deal with non-speculative risks – those risks from which only a loss can occur. Hardware and software obsolescence which are used in pharmaceutical industry equipment are the subject of Risk Management since these obsolescence may cause either a profit or loss and impact to the business strategy, which can reduce the value of the assets with which the organization undertakes its speculative activity.","Hardware and software obsolescence which are used in pharmaceutical industry equipment are the subject of Risk Management since these obsolescences may cause either a profit or loss and impact to the business strategy, which can reduce the value of the assets with which the organization undertakes its speculative activity."
"Reverse Engineering Based on Software Technology and System Research","https://scispace.com/paper/reverse-engineering-based-on-software-technology-and-system-0uk3xob3m3pp","","","","WANG Ru","10.3969/j.issn.1008-8725.2012.09.084","","With the advent of the information age,the computer software system the scale and complexity of the growing importance of software maintenance work have become increasingly prominent,as a big important software maintenance technology,reverse engineering is widely concerned about.This paper first to reverse engineering definition,key steps comprehensive interpretation,introduces the current research status after,and summarize the main problem existed,the future and forecast the reverse engineering software the future trend of development.","This paper explores reverse engineering, a crucial software maintenance technology, defining its key steps, current research status, and existing problems, while forecasting its future development trends in the context of growing software complexity."
"Abstractions of reverse engineering in the control and construction of protected software implementations","https://scispace.com/paper/abstractions-of-reverse-engineering-in-the-control-and-482k46luvv","2023","Journal Article","","Nataliya Maslova","10.15407/fmmit2023.37.012","","Зворотній інжиніринг має багато застосувань в ІТ.Це задачі сумісності, відтворення застарілих компонентів, аналізу та захисту програмних продуктів.Не зважаючи на актуальність, комплексний підхід до вирішення задач контролю та побудови захищених програмних реалізацій з урахуванням можливостей програмної інженерії та потреб інформаційної безпеки відсутній.В роботі продемонстрована можливість представлення процесу зворотного проєктування у вигляді послідовності абстракцій.Методи аналізу програмних реалізацій статичний, динамічний й, зокрема, експериментів, поєднуються моделлю абстракцій в логічну послідовність.А застосування метрик програмних продуктів надає можливість ","This study explores reverse engineering applications in IT, focusing on compatibility, legacy component reproduction, analysis, and protection of software products, proposing a comprehensive approach to control and construction of protected software implementations through abstraction-based modeling."
"Open strategies, open source strategies and the issue of value capture in the software industry","https://scispace.com/paper/open-strategies-open-source-strategies-and-the-issue-of-1p77rdjr4l","2008","","","Laure Muselli","","","Commercial software is traditionally governed by proprietary licenses that allow usage in exchange for a fee. Since the 90’s, more and more commercial software publishers have switched to open source and hybrid licenses Open source licenses allow users to freely download, copy, modify and distribute software whereas hybrid licenses place certain restrictions on freedom. Using Teece’s concept of regime of appropriability (Teece, 1986), we highlight the strategic role of software licenses in both open and open source strategies, as well as the business models allowing open source software publishers to capture value in order to make some profits.","Using Teece’s concept of regime of appropriability (Teece, 1986), this work highlights the strategic role of software licenses in both open and open source strategies, as well as the business models allowing open source software publishers to capture value in order to make some profits."
"Study on the Reversibility of Technology Innovation and the Essential Mode of Reverse Engineering","https://scispace.com/paper/study-on-the-reversibility-of-technology-innovation-and-the-d5xb1x9r0a3m","","","","MA Shaolin
XU Ping","10.3969/j.issn.1002-0241.2006.01.018","","As a basic approach of product development and technology innovation reverse engineering has been widely used in China but basically focusing on the ″reverse copy″ mode which is the low-level mode of reverse engineering. According to the reversibility of technology innovation both government and enterprises should improve the inside and outside environment in order to push reverse engineering to the advanced modes such as ″reverse amelioration″ and ″reverse innovation″ as early as possible.","Chinese reverse engineering primarily focuses on low-level ""reverse copy"" mode, but to advance technology innovation, both government and enterprises must improve environments to transition to higher modes like ""reverse amelioration"" and ""reverse innovation""."
"Sabotage Risk Assessment and Mitigation (SRAM) and Cases","https://scispace.com/paper/sabotage-risk-assessment-and-mitigation-sram-and-cases-pwf3lokwdg2s","2025","Journal Article","","Shiryaev, Dmitry","10.5281/zenodo.16592351","","This article presents the Sabotage Risk Assessment and Mitigation (SRAM) framework, a novel methodology that combines FMEA structure with TRIZ's Anticipatory Failure Determination and human factor assessment through the TIES framework. Four longitudinal case studies across different industries validate the methodology's effectiveness in predicting and preventing innovation implementation failures. ",""
"Understanding Software Systems Using Reverse Engineering Technology.","https://scispace.com/paper/understanding-software-systems-using-reverse-engineering-jhthp5i5bx","1994","","","Hausi A. Müller
Kenny Wong
Scott Tilley","","","Software engineering research has focused primarily on software construction, neglecting software maintenance and evolution. Observed is a shift in research from synthesis to analysis. The process of reverse engineering is introduced as an aid in program understanding. This process is concerned with the analysis of existing software systems to make them more understandable for maintenance, re-engineering, and evolution purposes. Presented is reverse engineering technology developed as part of the Rigi project. The Rigi approach involves the identi cation of software artifacts in the subject system and the aggregation of these artifacts to form more abstract system representations. Early industrial experience has shown that software engineers using Rigi can quickly build mental models from the discovered abstractions that are compatible with the mental models formed by the maintainers of the underlying software.","R reverse engineering technology developed as part of the Rigi project is presented, concerned with the analysis of existing software systems to make them more understandable for maintenance, re-engineering, and evolution purposes."
"Tools and Models for Software Reverse Engineering Research","https://scispace.com/paper/tools-and-models-for-software-reverse-engineering-research-121j9yroknwc","2024","Journal Article","","Thomas Faingnaert
Tab Zhang
Willem Van Iseghem
Gertjan Everaert
Bart Coppens
Christian Collberg
Bjorn De Sutter","10.1145/3689934.3690817","","Software protection researchers often struggle with the evaluation of MATE software protections and attacks. Evaluations often are incomplete and not representative of the practice. This can in part be explained by a lack of standardized, generally applicable models, tools, and methodologies for evaluating how reverse engineering attack strategies are executed. The framework of related components proposed in this paper is an attempt to provide exactly that. It includes a meta-model and supporting tools for modeling the knowledge that reverse engineers acquire as they execute their strategies, a meta-model to estimate the required effort of those strategies, and tools to capture strategic activities from data streams collected during human reverse engineering experiments. Their use is demonstrated on three example reverse engineering strategies. ","This paper proposes a framework with meta-models and tools to evaluate reverse engineering attack strategies, addressing the lack of standardized methodologies for software protection research, and demonstrates its use on three example strategies."
"A software reverse engineering experience","https://scispace.com/paper/a-software-reverse-engineering-experience-riw2mg7423","2010","Proceedings Article","Conference of the Centre for Advanced Studies on Collaborative Research","Erich Buss
John Henshaw","10.1145/1925805.1925808","","This paper reviews the progress-to-date of the application of program reverse engineering technologies to a large-scale legacy software product. Basic reverse engineering concepts and a project overview are outlined, followed by a description of the legacy software product, the reverse engineering toolkit used, and analysis and discussion of the experiences so far. Future research directions and summary comments are then detailed.","The progress-to-date of the application of program reverse engineering technologies to a large-scale legacy software product and the reverse engineering toolkit used is reviewed."
"Strategies of Naive Software Reverse Engineering: A Qualitative Analysis.","https://scispace.com/paper/strategies-of-naive-software-reverse-engineering-a-acs40pt42r","2021","Book Chapter","","Salsabil Hamadache
Markus Krause
Malte Elson","10.1007/978-3-030-79997-7_29","","Considerable amount of research into the cognitive processes of code reading and understanding has been conducted. However, few studies have considered code comprehension with a specific focus on protected code. This research effort aims to contribute to filling this gap by describing strategies of software reverse engineering, the process of making sense of protected software code. Our study presented two Java programs, one available in clear code and one in obfuscated code. Participants worked on two tasks for each of the programs that required them to understand the program logic and how the code produces program behaviour. By means of a codebook, similarities and discrepancies between participants’ strategies are outlined in this paper.","In this paper, the authors present two Java programs, one available in clear code and one in obfuscated code, and participants worked on two tasks for each of the programs that required them to understand the program logic and how the code produces program behaviour."
"Sincerity is a dangerous thing: On how appropriability regimes shape innovation strategies","https://scispace.com/paper/sincerity-is-a-dangerous-thing-on-how-appropriability-17ltis5eiv","2020","Journal Article","Journal of Intelligent and Fuzzy Systems","Juan Carlos Salazar-Elena
Asunción López López
José Guimón de Ros
Christian A. Cancino","10.3233/JIFS-179643","","Since the pioneering work of David J. Teece (“Profiting from technological innovation: Implications for integration, collaboration, licensing and public policy”, Research Policy 15, 1986), the concept of “appropriability regime” – defined as the level of threat stemming from potential imitators in the firm’s environment– has been useful in describing specific sectoral patterns at the aggregate level. However, there have been few attempts to formally prove the impact of different regimes on knowledge management strategies at the firm-level. Using firm-level longitudinal data from software and hardware sectors in Spain, we show that differences in appropriability regimes condition the profitability of open innovation strategies, and also induce specific patterns in firms’ knowledge management strategies. More specifically, we show that the appearance of diminishing returns from an open innovation strategy is more accelerated in firms immersed in weaker regimes (i.e. firms facing more threats from potential imitators). We also show that this is due to the fact that such firms must resort to more complex (and costly) practices that go far beyond the legal protection of intellectual property, internalizing other management practices related to productive capacity and the commercialization of innovations.",""
"Reverse Engineering: A Way of Technology Transfer in Developing Countries like Iran","https://scispace.com/paper/reverse-engineering-a-way-of-technology-transfer-in-55von1w9i9","2012","Journal Article","International Journal of e-Education, e-Business, e-Management and e-Learning","Morteza Raei Dehaghi
Masoud Goodarzi","10.7763/IJEEEE.2011.V1.57","https://scispace.com/pdf/reverse-engineering-a-way-of-technology-transfer-in-55von1w9i9.pdf","Technology transfer in developing countries vary from those of developed ones, and management of technology transfer during the recent years has been among the cases that has allocated the biggest mental disturbance of senior managers of engineering and manufacturing organizations in developing countries such as Iran. One of the questions that have always been raised is that how Iran can decrease its technological distance with that of developed countries in the shortest time and have a suitable share in the global business. This can be achieved through reverse engineering which includes any activities to determine how a product works or to learn the ideas and technology that were originally used to develop the product. Studying about countries like Iran which haven't obtained technology in the course of time, but have tried to encompass it at a point in time, shows that one of the best way to achieve technology transfer is the extensive application of reverse engineering method to determine how a product functions, its fabrication, and then develop it with respect to its own needs. Supervision for good execution of systematic reverse engineering process and the application of engineering tools and techniques in this process could have an appropriate impact on reaching technical knowledge of products in the shortest time possible and with minimum cost. The aims of this study is to explain briefly the steps needed to manage the different strategies of technologies transfer, role of research and development in achieving them, as well as how to select appropriate reverse engineering strategies as a suitable way towards technology transfer in order that Iran can meet its own demand for new compatible industrial product in a cheaper way as well as market expansion, exporting purposes and, in one way or another, to overcome the imposed economic sanction against her by some countries. The result of this inquiries shows that, in short run, application of reverse engineering method is one of the best solution to decrease technological gap from that of industrial countries and to meet its mentioned purposes.","Application of reverse engineering method is one of the best solution to decrease technological gap from that of industrial countries and to meet its mentioned purposes."
"Why reverse engineering software","https://scispace.com/paper/why-reverse-engineering-software-4m6dtblskb","1994","","","F.D. Milsom","","","Corporations consider software to be an investment. From the stand-point of an individual software developer, software is a personal creation and a challenge. From the viewpoint of a software maintenance engineer, software is a problem imposed by someone else. How can these different views be reconciled. We consider the role of re-engineering, restructuring and reverse engineering techniques in addressing the dual issues of intellectual ownership and technology obsolescence.","The role of re-engineering, restructuring and reverse engineering techniques in addressing the dual issues of intellectual ownership and technology obsolescence are considered."
