"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Overview","https://scispace.com/paper/overview-a2lzs3w1e8d8","2011","Journal Article","","","10.1093/9780199289011.003.0090","","Abstract This chapter introduces key areas of intellectual property relevant to pharmaceuticals, biotechnology, and chemicals, centering on Confidential Information/Trade Secrets and Plant Breeders’ Rights. It highlights the critical role that confidential information plays in maintaining a competitive edge, particularly when such information surrounds a commercially viable product. It also discusses how protection of this information can vary by jurisdiction, with some treating breaches as criminal offences while others view them as civil matters. Written agreements clearly defining obligations of confidence and permissible uses are presented as essential tools for safeguarding information. The chapter reviews how plant-derived materials used in pharmaceutical and chemical manufacturing benefit from plant variety protection under the TRIPS Agreement and the UPOV Convention. ","This chapter explores intellectual property in pharmaceuticals, biotechnology, and chemicals, focusing on confidential information, trade secrets, and plant breeders' rights, highlighting jurisdictional variations and the importance of written agreements for safeguarding sensitive information."
"The economics of trade secrets : evidence from the Economic Espionage Act","https://scispace.com/paper/the-economics-of-trade-secrets-evidence-from-the-economic-8sllr0qpr4","2010","Dissertation","","Nicola Searle","","","This thesis reports on the economic analysis of trade secrets via data collected from prosecutions under the U.S. Economic Espionage Act (EEA.) Ratified in 1996, the EEA increases protection for trade secrets by criminalizing the theft of trade secrets. The empirical basis of the thesis is a unique database constructed using EEA prosecutions from 1996 to 2008. A critical and empirical analysis of these cases provides insight into the use of trade secrets.
 The increase in the criminal culpability of trade secret theft has important impacts on the use of trade secrets and the incentives for would-be thieves. A statistical analysis of the EEA data suggest that trade secrets are used primarily in manufacturing and construction. A cluster analysis suggests three broad categories of EEA cases based on the type of trade secret and the sector of the owner. A series of illustrative case studies demonstrates these clusters.
 A critical analysis of the damages valuations methods in trade secrets cases demonstrates the highly variable estimates of trade secrets. Given the criminal context of EEA cases, these valuation methods play an important role in sentencing and affect the incentives of the owners of trade secrets. The analysis of the lognormal distribution of the observed values is furthered by a statistical analysis of the EEA valuations, which suggests that the methods can result in very different estimates for the same trade secret. A regression analysis examines the determinants of trade secret intensity at the firm level. This econometric analysis suggests that trade secret intensity is negatively related to firm size. Collectively, this thesis presents an empirical analysis of trade secrets.","In this paper, the economic analysis of trade secrets via data collected from prosecutions under the U.S. Economic Espionage Act (EEA) is presented, and the authors suggest that trade secrets are used primarily in manufacturing and construction."
"Disclosure, Patenting, and Trade Secrecy","https://scispace.com/paper/disclosure-patenting-and-trade-secrecy-5tkh9x0vq6e4","2024","Journal Article","Journal of Accounting Research","Arnoud W. A. Boot
Vladimir Vladimirov","10.1111/1475-679x.12580","","Abstract Patent applications often reveal proprietary information to competitors, but does such disclosure harm firms or also benefit them? We develop and empirically support a theory showing that when firms patent enhancements to incumbent, nondisruptive technologies, they can cooperate more easily on these technologies, increasing their profitability. The downside of cooperating on nondisruptive technologies is that the investment in and commitment to disruptive technologies decline. To improve their commitment to disruptive technologies, some firms rely more on trade secrecy. We provide empirical support for these predictions. We document that after a patent reform that made information about patent applications widely accessible, firms cooperate more and charge higher markups. Furthermore, the nature of patented innovation has changed, with the proportion of nondisruptive patents increasing substantially. Finally, while some firms start patenting more, others patent less and rely more on trade secrecy, with the response depending on the attractiveness of firms' innovation prospects. ","Patent disclosure can benefit firms by facilitating cooperation on nondisruptive technologies, increasing profitability, but may harm them by reducing investment in disruptive technologies, prompting some to rely on trade secrecy instead."
"The management and security of trade secrets: an exploratory study","https://scispace.com/paper/the-management-and-security-of-trade-secrets-an-exploratory-14mcb3xa9t","2009","Journal Article","International Journal of Intellectual Property Management","D. Richard Stead
Adam R. Cross","10.1504/IJIPM.2009.024405","","Trade secrets differ from intellectual property such as patents, trademarks and industrial designs in that, for the latter to receive legal protection, they must be placed in the public domain. By contrast, trade secrets are not disclosed but receive legal protection by virtue of the steps taken to keep them secret. This exploratory study seeks to provide a foundation for a general understanding of the nature and governance of trade secrets and their role in management practice. Propositions are developed and tested on their nature, location within the firm and the mechanisms that operate to keep them secure from betrayal to competitors.","In this paper, an exploratory study seeks to provide a foundation for a general understanding of the nature and governance of trade secrets and their role in management practice, and propose proposals are developed and tested on their nature, location within the firm and mechanisms that operate to keep them secure from betrayal to competitors."
"An analysis of trade secrets: directive 943/2016 on the protection of undisclosed know-how and business information (trade secrets) against their unlawful acquisition, use and disclosure","https://scispace.com/paper/an-analysis-of-trade-secrets-directive-943-2016-on-the-j4y1p6m1dn","2018","Dissertation","","Chiara De Angelis","","","The evolution of trade secret law: from international agreements to the proposal of a directive in the European Union. Directive 943/2016 on the protection of undisclosed know-how and business information (trade secrets) against their unlawful acquisition, use and disclosure. Trade secret law and its impact on other EU sectorial legislation.","The evolution of trade secret law from international agreements to the proposal of a directive in the European Union is described in this paper, where the protection of undisclosed know-how and business information (trade secrets) against their unlawful acquisition, use and disclosure is discussed."
"A New Framework for Assessing Clinical Data Transparency Initiatives","https://scispace.com/paper/a-new-framework-for-assessing-clinical-data-transparency-2t4fqbhtb8","2013","Journal Article","Social Science Research Network","Erika Lietzan","10.2139/SSRN.2308567","https://scispace.com/pdf/a-new-framework-for-assessing-clinical-data-transparency-2t4fqbhtb8.pdf","Biopharmaceutical companies submit vast amounts of clinical data and analysis to support approval of their medicines, expecting the information to be kept confidential, as has been the practice of regulators around the world for decades. Over the last ten years, however, pressure has been mounting for regulators or industry to release this information. Legal scholars have generally taken the view that no relevant doctrines or bodies of law preclude the release of this material and that public policy considerations compel its release. This article argues that the scholarship to date has overlooked key considerations: the special issues presented by operation in a regulatory environment where the information good is generated to overcome a barrier to market, and the implications of operation in a multi-national environment where the decision of one regulator can have profound implications on legal outcomes in other jurisdictions. Further, it argues, use of the trade secret label — which most scholars and courts assume is the correct label for this information good — is analytically problematic. I argue that the issue should be assessed through a different lens: whether the drug manufacturers have a private property interest in the contents of their applications. I also argue that because this content has both informational uses and regulatory uses, the right to exclude includes severable rights to prevent disclosure and to prevent use. Disclosure to academics and other researchers — which I agree is important from a public health perspective — can be accomplished with restrictions on further disclosure and protection from regulatory use, thereby preserving some property right and arguably blunting the taking and reducing any compensation that might be owed. In view of the property right, however, the government should consider incentivizing or rewarding volunteerism. The risk that another regulator will move before the U.S. government may also call for consideration of reforms that will blunt the impact of disclosure on incentives to innovate.","In this paper, the authors argue that the issue of whether the drug manufacturers have a private property interest in the contents of their applications should be assessed through a different lens: whether the pharmaceutical companies have a privacy interest in their applications, and they also argue that because this content has both informational uses and regulatory uses, the right to exclude includes severable rights to prevent disclosure and to prevent use."
"Espionnage industriel : protections, outils de gestion et perspectives ?","https://scispace.com/paper/espionnage-industriel-protections-outils-de-gestion-et-3f90wvz1ue","2019","Journal Article","","Oumar Fane
Jimmy Feige","10.3917/QDM.191.0089","","Si les secrets de fabrication des romains etaient convoites par les celtes, et ceux des chinois par les perses (Carlton, 1992), l’espionnage industriel – phenomene ancien (Coskun Samli et Jacobs, 2003) – a relativement peu ete traite par les scientifiques. Or, les entreprises s’exposent a des pertes potentielles en termes de reputation et d’avantages concurrentiels lorsque les secrets commerciaux sont compromis (OCDE, 2014). En l’occurrence, une entreprise sur cinq a ete victime d’au moins une tentative de violation de ses secrets d’affaires ces dix dernieres annees ; et une sur quatre aurait signale un vol d’informations en 2013, contre 18 % en 2012 (Commission europeenne 2013). Apres avoir clarifie le concept d’espionnage industriel en mettant en exergue les travaux effectues, nous ferons un inventaire des outils et methodes de protection contre l’espionnage industriel dans les entreprises. Nous discuterons alors des vides et lacunes releves dans ce domaine de gestion ; et du processus de controle de gestion envisageable a partir des travaux menes par Simons.","In this article, the concept d'espionnage industriel is defined as ""a relativement peu ete traite par les scientifiques"", a concept defined by Coskun Samli et Jacobs, 2003."
"Information Disclosure and Competitive Dynamics: Evidence from the Pharmaceutical Industry","https://scispace.com/paper/information-disclosure-and-competitive-dynamics-evidence-5mjmb4b6hlfb","2024","Journal Article","Nauki o Zarządzaniu","Jennifer Kao","10.1287/mnsc.2022.01161","","This paper studies how competitive dynamics shape innovative firms’ voluntary disclosure of product quality information. Our empirical context is the pharmaceutical industry, where firms must decide whether to disclose private drug quality information acquired in clinical trials. Using a difference-in-difference strategy, we show that the approval of a competitor’s drug lowers the likelihood of a firm reporting its clinical trial results by 13%. We explore how these effects vary based on the project quality, competitor type, and firm experience. These findings suggest that strategic considerations play a role in firms’ disclosure decisions; in response to a competitor’s drug approval, firms may selectively withhold information to maintain and improve their competitive position. This paper was accepted by Joshua Gans, business strategy. Funding: This work was funded by the National Institute on Aging [Grant T32-AG000186] and the UCLA Society of Hellman Fellows Program. Supplemental Material: The online appendix and data files are available at https://doi.org/10.1287/mnsc.2022.01161 .","This study examines how pharmaceutical firms' disclosure of product quality information is influenced by competitive dynamics, finding that a competitor's drug approval reduces the likelihood of reporting clinical trial results by 13%, suggesting strategic withholding of information to maintain market position."
"Integrating legal and technological mechanisms for trade secret protection in sustainable innovation and commercialisation","https://scispace.com/paper/integrating-legal-and-technological-mechanisms-for-trade-nsp774n57yyu","2025","Journal Article","","Shahizan Sarmijan
Ma Kalthum Ishak","10.71284/asc.2025157","","Intellectual Property (IP) is a vital intangible asset that supports innovation and commercialisation in today’s business environment. The World Intellectual Property Organization (WIPO) defines IP includes creations of the mind such as inventions, literary and artistic works, designs, and commercial symbols. These creations are granted legal rights, enabling their owners to control and benefit from their use. IP is divided into registered types like patents, trademarks, industrial designs and geographical indications which require official registration and unregistered types such as copyright and trade secrets. Copyright protection arises automatically upon creation while trade secrets remain protected as long as their confidentiality is maintained. Trade secrets refer to confidential business information that provides a competitive advantage, including formulas, methods, processes or commercial strategies. However, trade secrets face challenges in protection due to weak legal frameworks and limited enforceability. Article 39(2) of the Trade Related Aspect of Intellectual Property (TRIPS) Agreement obliges member states to adopt “reasonable steps” for trade secret protection, but this vague wording often results in inconsistent implementation. Furthermore, while digital tools such as encryption and access control enhance secrecy, they lack independent legal standing. This study examines the adequacy of legal and technological protection mechanisms for trade secrets, particularly in Malaysia and compares them with frameworks in the United States (US), United Kingdom (UK) and European Union (EU). It also explores the risks associated with weak trade secret protection in a digital era where virtual collaboration, AI, and cloud-based systems dominate. Without robust legal-technological integration, misappropriation risks increase, hindering sustainable innovation and economic growth. The research uses legal and content analysis to propose a comprehensive framework integrating legal instruments and digital security tools. The findings aim to support policymakers, businesses, and innovators in developing effective strategies to safeguard trade secrets, fostering sustainable innovation and trust in commercial ecosystems. ","This study examines the adequacy of legal and technological protection mechanisms for trade secrets in Malaysia, comparing them with frameworks in the US, UK, and EU, and proposes a comprehensive framework integrating legal instruments and digital security tools for sustainable innovation and economic growth."
"Law and Innovation: Evidence from the Uniform Trade Secrets Act","https://scispace.com/paper/law-and-innovation-evidence-from-the-uniform-trade-secrets-50mk7xpiji","2011","","","Qiu-hong Wang
Sampsa Samila
Myles Shaver
Sendil Ethiraj
Kai-lung Hui
Ke-wei Huang
Richard Lai
Jim Pooley
Emek Basker
Suresh Kotha
Linxi Chang
Xueji Liang
Oon Pei Gan
Shi Yuan","","","Most research and policy on protecting innovation focus on patents. Yet, almost all technology managers report secrecy to be more important than patents. Here, I show theoretically that stronger secrecy laws could increase or reduce R&D. By reducing spillovers, secrecy laws might reduce or raise the return to R&D, depending on whether spillover and own R&D are complements or substitutes. By strengthening appropriability, secrecy laws would raise the return to R&D. Empirically, I nd that, among U.S. manufacturers between 1976 and 2006, the Uniform Trade Secrets Act (UTSA) was associated with an average 5:2% ( 2:5%) reduction in R&D. This negative eect suggests that, on average, own and spillover R&D are complements. The impact of the UTSA was quite nuanced, being significant among low-tech companies, but not signicant among high-tech companies. Further, I show theoretically that stronger secrecy laws could increase or reduce patenting depending on their relative impact on the exclusivity of the patentable innovation vis-a-vis complementary know-how. Empirically, the UTSA was associated with reduced patenting in industries where patents are relatively eective in protecting process innovations.","In this article, the authors show that the Uniform Trade Secrets Act (UTSA) was associated with an average 5:2% (2:5%) reduction in R&D."
"Comply or Explain: Do Firms Opportunistically Claim Trade Secrets in Mandatory Environmental Disclosure Programs?","https://scispace.com/paper/comply-or-explain-do-firms-opportunistically-claim-trade-7f6jj54t00bp","2024","Journal Article","Journal of Accounting Research","Yile Jiang","10.1111/1475-679x.12583","","ABSTRACT This paper studies whether firms opportunistically make proprietary claims in mandatory environmental disclosure programs with trade secret exemption rules. Examining the mandatory chemical disclosure program in the fracking industry, I find evidence of opportunistic withholding of information among operators that are less likely to have trade secrets. Specifically, I find that these operators claim fewer chemicals as trade secrets when the operating site is in close proximity to water quality monitors. This is only observed among publicly traded operators that face a higher cost of societal backlash when disclosing pollutant information. Further analyses suggest that these operators are concerned about external environmental monitoring, which deters them from opportunistic information withholding. Regarding public and private operators that are more likely to have trade secrets, I do not find strong evidence that their information withholding varies with the monitoring conditions. ","This study examines firms' opportunistic use of trade secret exemptions in mandatory environmental disclosure programs, finding that publicly traded operators with fewer legitimate trade secrets withhold information more when near water quality monitors to avoid societal backlash."
