"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Does knowledge tradeability make secrecy more attractive than patents? An analysis of IPR strategies and licensing","https://scispace.com/paper/does-knowledge-tradeability-make-secrecy-more-attractive-4zmlnub5rd","2016","Journal Article","Oxford Economic Papers-new Series","Frederique Goy
Changtao Wang","10.1093/OEP/GPV051","","Despite considerable protections provided by the patent system, a surprisingly small number of firms use patents. This study focuses on examining empirically Henry and Ponce (2011)’s theoretical finding that firms’ preference of secrecy over patents rise with knowledge tradeability using the Innovation in Australian Business survey data. Besides, other determinants of firms’ choices of patenting versus secrecy are explored. We constructed a trivariate probit model to correct for the endogeneity of the key explanatory dummy variable in the basic bivariate probit model of patents and secrecy. As robustness check, we attempted to correct for the potential sample selection bias caused by using only the innovator subsample. Our key findings are that firms engaged in knowledge trading or those among the largest R&D investors, are more likely to use secrecy than patents. Other findings are consistent with the existing literature, which are large or manufacturing firms and those involving R&D joint-ventures are more likely to use patents, while firms obtaining information from internal and non-market sources are more inclined to use secrecy.","In this paper, the authors examined empirically Henry and Ponce's theoretical finding that firms preference of secrecy over patents rise with knowledge tradeability using the Innovation in Australian Business survey data."
"Big patents, small secrets: how firms protect inventions when R&D outcome is heterogeneous","https://scispace.com/paper/big-patents-small-secrets-how-firms-protect-inventions-when-qfn3yvwdgj","2011","Posted Content","Research Papers in Economics","Malte Mosel","","https://www.econstor.eu/bitstream/10419/73407/1/670178020.pdf","Patents have long been regarded as the ‘gold standard’ of intellectual property protection. In “Little patents and big secrets: managing intellectual property”, Anton and Yao (2004) call this traditional view into question by finding that firms keep their most important innovations secret. This model modifies key assumptions made by Anton and Yao by accounting for patenting costs, patentability standards, and the fact that patents provide protection in competitive situations where secrecy fails. The latter aspect counteracts the empirically substantiated fact that, in situations where both appropriation mechanisms are applicable, secrecy provides more protection. It is found that firms keep small inventions secret, use both mechanisms for medium inventions, and patent their most important innovations. This result reestablishes the traditional view that patents are crucial to provide R&D incentives and is yet consistent with main empirical findings on the issue.","In this paper, the authors show that firms keep small inventions secret, use both mechanisms for medium inventions, and patent their most important innovations, which is consistent with the traditional view that patents are crucial to provide R&D incentives."
"Unveiling the Veil: A Distinctive Approach to Analysing Trade Secrets and Patents","https://scispace.com/paper/unveiling-the-veil-a-distinctive-approach-to-analysing-trade-59qn7d0vaw93","2024","Repository","","","10.5281/zenodo.10790381","","A distinctive approach to the analysis of trade secrets and patents is taken, aiming to shed light on the complexities and nuances of these two distinct yet interconnected forms of intellectual property protection. Peeling back the layers of conventional wisdom and delving into the intricate dynamics between trade secrets and patents uncovers novel insights that challenge traditional perceptions and offer a fresh perspective on their roles in fostering innovation and safeguarding competitive advantage. Acknowledging the historical and legal foundations of trade secrets and patents recognizes their respective contributions to innovation and knowledge dissemination. However, it goes beyond these familiar narratives to delve into the hidden intersections, untapped synergies, and potential for convergence between these protection mechanisms. Taking an interdisciplinary approach, the paper weaves together strands from law, economics, technology, and business strategy. It explores how technological advancements have reshaped the landscape of intellectual property protection, blurring the lines between secrecy and disclosure in ways previously unexplored. By embracing the potential symbiosis between both forms of protection, businesses may unlock new avenues for innovation and differentiation while navigating the legal and ethical considerations that arise from such a novel perspective and unveiling the veil that shrouds trade secrets and patents, this paper offers a distinctive lens through which to perceive their intricate relationship, fostering an enriched discourse that stands at the intersection of tradition and innovation. ",""
"Towards the (Strategic) Management of Intellectual Property: Retrospective and Prospective:","https://scispace.com/paper/towards-the-strategic-management-of-intellectual-property-4rs3ase96j","2013","Journal Article","California Management Review","Abdulrahman Al-Aali
David J. Teece","10.1525/CMR.2013.55.4.15","","The systematic integrated management of intellectual property (IP) is a recent phenomenon. This is despite the fact that intellectual property has been around for several centuries. Today, matters are more complicated, and integrated IP management is required. By integrated IP management we mean not only that the various forms of intellectual property (patents, trade secrets, trademarks, copyright) are managed together, but that intellectual property management is in turn integrated with overall business model design and corporate strategy. Integrated management is more than simply establishing a licensing model, or manufacturing a product that incorporates new invention.","The systematic integrated management of intellectual property (IP) is a recent phenomenon as mentioned in this paper, despite the fact that intellectual property has been around for several centuries, and matters are more complicated, and integrated IP management is required."
"Secrecy and Patents: Theory and Evidence from the Uniform Trade Secrets Act","https://scispace.com/paper/secrecy-and-patents-theory-and-evidence-from-the-uniform-ty0n0tfoss","2015","Journal Article","Social Science Research Network","Ivan P. L. Png","10.2139/SSRN.2617266","","Stronger trade secrets law affects patenting in conflicting ways. It raises the return to commercialization and increases the exploitation of inventions, and so, increases patenting. However, for each particular invention, businesses may substitute secrecy for patents. Here, I exploit differences in the timing of the Uniform Trade Secrets Act (UTSA) in U.S. states and the impact on manufacturers with different geographic distribution of R&D to study the effect of stronger trade secrets law on patenting. The UTSA was associated with 19.5 percent fewer patents in complex technology industries but no significant effect in discrete technology industries. Further, the UTSA was associated with relatively greater reduction of patenting of larger inventions, among larger companies which are technology laggards, and in less competitive industries.","In this paper, the authors exploit differences in the timing of the Uniform Trade Secrets Act (UTSA) in U.S. states and the impact on manufacturers with different geographic distribution of R&D to study the effect of stronger trade secrets law on patenting."
"The Effectiveness of Secrecy As An Appropriation Mechanism Evidence From The Uniform Trade Secrets Act","https://scispace.com/paper/the-effectiveness-of-secrecy-as-an-appropriation-mechanism-veorlzu7ix","2019","Journal Article","Social Science Research Network","Yohan Choi
Jeffrey Q. Barden
Sam Yul Cho
Jonathan D. Arthurs","10.2139/SSRN.3344021","","Although the study of appropriability has received substantial attention in strategy literature, little is known about how trade secrecy as appropriation mechanism affects firm R&D productivity, let alone under what conditions the effect of trade secrecy on firm R&D productivity is more or less pronounced. Thus, this study examines how and when trade secrecy improves firm R&D productivity. Using a natural experiment provided by the staggered implementation of trade secret law – Uniform Trade Secrets Act - and using a difference-in-differences approach, we find that the stronger trade secret protection positively affects firm R&D productivity. We also find that the positive effect of stronger trade secret protection on firm R&D productivity is less pronounced for firms possessing a larger number of patents while the effect is more pronounced for firms investing into more downstream complementary assets. We further find that the positive effect of strong trade secret protection on firm R&D productivity is more pronounced in complex technology industries relative to discrete technology industries and the positive effect is also more pronounced in highly concentrated industries.","In this article, the authors examine how and when trade secrecy improves firm R&D productivity and find that the positive effect of strong trade secret protection is more pronounced in complex technology industries relative to discrete technology industries."
"Optimising Trade Secret Management in the UK: Advanced Processes, Strategic Protection Practices and Mitigations for Information Misappropriation","https://scispace.com/paper/optimising-trade-secret-management-in-the-uk-advanced-hvgfee12yoyv","2025","Journal Article","","Oleksandra Ozcan","10.23889/suthesis.69596","","Trade secrets are critical assets for companies, providing a competitive edge by safeguarding valuable information and innovations. Unlike patents, however, trade secrets do not require public disclosure, enabling companies to maintain a competitive advantage by keeping critical information confidential. Rapid technological advancement and the increasing value of intangible assets means that effective trade secret management is, therefore, becoming ever more important for sustaining a firm's competitive position and fostering innovation. Simultaneously, however, comprehensive frameworks and processes for trade secret identification, protection, and misappropriation mitigation remain underexplored in the literature and practice. Consequently, this PhD research aims to address this gap and develop an in-depth understanding of trade secret management processes, examined through the lenses of Resource-Based View (RBV), Dynamic Capabilities (DC), and Knowledge Management (KM) theories. This research combines qualitative methods across four distinct papers using a sequential mixed-methods approach. The first paper uses a systematic literature review (SLR) to develop a strategic framework for trade secret protection, integrating RBV and DC theories. The second paper explores trade secret management processes through a thematic analysis of 52 UK legal cases and five expert interviews. It highlights the importance of organisational awareness, employee commitment, and support from legal, IT, and HR departments. The third paper addresses the challenges of trade secret identification, proposing a UVRIP framework based on KM theory and providing a strategic tool for systematically identifying and categorising trade secrets. The final paper presents a comprehensive approach to trade secret misappropriation mitigation, outlining a step-by-step process aligned with DC theory, incorporating findings from industry interviews and legal case studies. The key findings of this PhD research underscore the dynamic and multifaceted nature of trade secret management, necessitating the simultaneous application of RBV, DC, and KM theories.This study introduces a structured trade secret management process, emphasizing the strategic alignment between trade secret management and broader organizational goals. It advocates for the implementation of internal policies, employee training, and robust protection mechanisms. The research significantly contributes to academic literature and practical management by providing a comprehensive framework and process for trade secret management. It offers valuable insights for managers, policymakers, and stakeholders aiming to enhance trade secret protection and leverage these critical assets for sustained competitive advantage. The study also presents country-specific recommendations for the UK and enhances global understanding and practices of trade secret management. In conclusion, this PhD research integrates multiple theoretical perspectives and provides actionable strategies for effective trade secret management, fostering more resilient and innovative business practices. ","This PhD research develops a comprehensive framework for trade secret management, integrating RBV, DC, and KM theories, and proposes a structured process for identification, protection, and misappropriation mitigation, emphasizing strategic alignment and robust protection mechanisms for UK companies."
"Patent–Secret Mix in Complex Product Firms","https://scispace.com/paper/patent-secret-mix-in-complex-product-firms-2ofchm0gkn","2008","Journal Article","American Law and Economics Review","Elisabetta Ottoz
Franco Cugno","10.1093/ALER/AHN007","https://scispace.com/pdf/patent-secret-mix-in-complex-product-firms-2ofchm0gkn.pdf","Different protection mechanisms may be employed at the same time when an innovation is comprised of separately protectable components. If patents and trade secrets can be mixed in protecting single innovations, a strengthening in patent breadth may induce a lower level of patenting, as innovators are more prone to rely on secrecy.","In this article, the authors show that if patents and trade secrets can be mixed in protecting single innovations, a strengthening in patent breadth may induce a lower level of patenting, as innovators are more prone to rely on secrecy."
"Patent-Secret Mix in Complex Product Firms","https://scispace.com/paper/patent-secret-mix-in-complex-product-firms-1i531zhpnp","2008","Posted Content","Social Science Research Network","Elisabetta Ottoz
Franco Cugno","","","Different protection mechanisms may be employed at the same time when an innovation is comprised of separately protectable components. If patents and trade secrets can be mixed in protecting single innovations, a strengthening in patent breadth may induce a lower level of patenting, as innovators are more prone to rely on secrecy.","In this paper, the authors show that if patents and trade secrets can be mixed in protecting single innovations, a strengthening in patent breadth may induce a lower level of patenting, as innovators are more prone to rely on secrecy."
"Unveiling the Veil: A Distinctive Approach to Analysing Trade Secrets and Patents","https://scispace.com/paper/unveiling-the-veil-a-distinctive-approach-to-analysing-trade-2p7slkgop5au","2023","Repository","","","10.5281/zenodo.10790382","","&lt;p&gt;&lt;span&gt;A distinctive approach to the analysis of trade secrets and patents is taken, aiming to shed light on the complexities and nuances of these two distinct yet interconnected forms of intellectual property protection. Peeling back the layers of conventional wisdom and delving into the intricate dynamics between trade secrets and patents uncovers novel insights that challenge traditional perceptions and offer a fresh perspective on their roles in fostering innovation and safeguarding competitive advantage. Acknowledging the historical and legal foundations of trade secrets and patents recognizes their respective contributions to innovation and knowledge dissemination. However, it goes beyond these familiar narratives to delve into the hidden intersections, untapped synergies, and potential for convergence between these protection mechanisms. Taking an interdisciplinary approach, the paper weaves together strands from law, economics, technology, and business strategy. It explores how technological advancements have reshaped the landscape of intellectual property protection, blurring the lines between secrecy and disclosure in ways previously unexplored. By embracing the potential symbiosis between both forms of protection, businesses may unlock new avenues for innovation and differentiation while navigating the legal and ethical considerations that arise from such a novel perspective and unveiling the veil that shrouds trade secrets and patents, this paper offers a distinctive lens through which to perceive their intricate relationship, fostering an enriched discourse that stands at the intersection of tradition and innovation&lt;/span&gt;&lt;span&gt;.&lt;/span&gt;&lt;/p&gt; ",""
"Do innovative firms rely on big secrets? An analysis of IP protection strategies with the CIS 4 survey","https://scispace.com/paper/do-innovative-firms-rely-on-big-secrets-an-analysis-of-ip-7ktz2siw83","2016","Journal Article","Economics of Innovation and New Technology","Serge Pajak","10.1080/10438599.2015.1080902","","Innovative companies have a variety of instruments at their disposal to protect themselves from imitators, and this paper investigates the determinants of the protection choices with a focus on highly innovative respondents. While the patent system's aim is that firms apply to patent their innovations, especially the most important ones, theoretical results in the existing literature suggest that large innovations will rather be protected by secrecy because of the legal uncertainty surrounding intellectual property rights. In line with the predictions of their model, our probit analysis conducted using data from the Community Innovation Survey 4 shows that, in the intermediate goods industry, small innovations are patented while secrecy is used to protect large ones. For very innovative small firms, the share of innovative sales in total sales has a negative effect on patent application. These findings support the view that many innovative firms regard patent filing as no more secure than secrecy,...","In this article, the determinants of the protection choices with a focus on highly innovative respondents were investigated, and it was shown that for very innovative small firms, the share of innovative sales in total sales has a negative effect on patent application."
"Safeguarding Secrets, Shaping Acquisitions: Trade Secret Protection and the Role of Distance Between Acquirer and Target","https://scispace.com/paper/safeguarding-secrets-shaping-acquisitions-trade-secret-npf8slaidi2f","2024","Journal Article","Strategy science","Marta F. Arroyabe
Christoph Grimpe
Katrin Hussinger","10.1287/stsc.2023.0066","","We investigate whether strengthened legal protection of trade secrets increases the likelihood of a firm being acquired. Stronger protection can make a firm more attractive for acquisition because of better safeguarding of trade secrets, but it may also increase information asymmetries that discourage potential acquirers. Using the staggered implementation of the Uniform Trade Secrets Act in the United States, we show that stronger trade secret protection increases the likelihood of being acquired but also changes firms’ acquisition strategies more broadly depending on the distance between acquirer and target. Compared with domestic acquirers, foreign acquirers are only half as likely to make an acquisition, and they prefer to acquire minority rather than majority stakes. Both domestic and foreign acquirers are more likely to pursue stepwise acquisitions of a target as protection increases, consistent with a real options rationale. Further investigation suggests that, whereas increased trade secret protection increases information asymmetries for all acquirers, foreign acquirers as well as domestic acquirers located further away from a target are disproportionately affected. Supplemental Material: The online appendix is available at https://doi.org/10.1287/stsc.2023.0066 . ","This study examines the impact of strengthened trade secret protection on firm acquisitions, finding that it increases acquisition likelihood but also creates information asymmetries, particularly for foreign and distant acquirers, altering their acquisition strategies."
