"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Reverse engineering and trade secrets in the post-Alice world","https://scispace.com/paper/reverse-engineering-and-trade-secrets-in-the-post-alice-vy4sxmkeipit","","","","Samuel J. LaRoque
J Candidate
Nathan Mannebach
Beth Hanus
Mathew Finally
Adam Petersen
Mackenzie Gillaspie","10.17161/1808.25704","https://kuscholarworks.ku.edu/bitstreams/ab6bbc7a-8f88-4499-8e4c-47daa6831aeb/download","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses post‑Alice analysis to compare patents vs trade secrets for software algorithms; lacks real‑company data; provides a rich hypothetical startup scenario with valuation estimates.","Consider a new software startup company, its employees working long hours to develop a software algorithm that will be bigger, better, and faster than the state-of-the-art already on the market.Maybe it will allow traders to respond to changing financial markets a millisecond faster than their competitors, or it will help airlines plan more efficient routes to save billions of dollars in fuel each year.The company believes this new algorithm will lead to an initial public offering worth tens of millions of dollars and early retirement.But before it releases the software and changes the world, it wants patent protection.It wants to prevent others from taking the same algorithm, packaging it with a slightly different product, and selling it for less because it had lower development costs.The company consults with several patent lawyers and receives discouraging news.In view of several recent Supreme Court decisions, most notably Alice Corp. v. CLS Bank International 1 in 2014, this algorithm will be nearly impossible to patent.This company cannot use patent protection to exclude others from using the algorithm, and the company's success is suddenly highly uncertain.What should the company do?These are difficult times for software companies seeking to protect their intellectual property.The United States Supreme Court decided"
"Expired patents, trade secrets, and stymied competition","https://scispace.com/paper/expired-patents-trade-secrets-and-stymied-competition-3sw2m6pel8","2016","Posted Content","Social Science Research Network","W. Nicholson Price","","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=2888988","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Highly relevant: compares patents vs trade secrets, outlining trade‑offs and the “economic enablement” concept. Somewhat relevant: touches on reverse‑engineering risk and mixed IP portfolio strategies.","Patents and trade secrecy have long been considered substitute incentives for innovation. When inventors create a new invention, they traditionally must choose between the two. And if inventors choose to patent their invention, society provides strong legal protection in exchange for disclosure, with the understanding that the protection has a limit: it expires 20 years from the date of filing. At that time, the invention is opened to the public and exposed to competition. This story is incomplete. Patent disclosure is weak and focuses on one technical piece of an invention — but that piece is often only a part of the market-relevant innovation. Patent-holding innovators use various tactics to distort the patent bargain and prolong effective monopolies beyond the patent’s expiration date. These tactics include using patented inventions to generate secret information, relying on the timing difference between patent filing and product marketing to make disclosure nearly irrelevant, and tying secret components to patented frameworks. While these phenomena have been noted before, this paper joins them together as examples of ways that innovators avoid the competition-promoting function of patent expiration, ultimately limiting the benefit the public receives from patented inventions. It also suggests that the most problematic cases likely involve markets where additional factors, such as regulation or other market irregularities, require that goods be interchangeable. Finally, it proposes the concept of economic enablement: patentees may have a responsibility to enable not just the bare technical invention disclosed in a patent, but rather the minimum information necessary to commercially exploit the patented invention. Against the background of the newly enacted federal Defend Trade Secrets Act, courts and scholars alike should examine the boundaries between trade secrets and patents to ensure that the overlap does not distort the policy goal of incentivizing and promoting both innovation and competition."
"Patent and trade secret protection of computer technology","https://scispace.com/paper/lUlRAW8AhTQJ","","","","G Siller Jr
JE Retsky","","","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Compares patents vs trade secrets for software and discusses reverse‑engineering risks; provides no real‑company case study or detailed factual scenario.",""
"So You Want to Take a Trade Secret to a Patent Fight: Managing the Conflicts between Patents and Trade Secret Rights","https://scispace.com/paper/YEve2vlw-PQJ","","","","SR Daniels
SL Williams","","","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Offers clear patent vs trade‑secret comparison and reverse‑engineering discussion, but no real‑company data; only a limited manufacturing‑method example without full quantitative detail.",""
"Disclosure, Patenting, and Trade Secrecy","https://scispace.com/paper/disclosure-patenting-and-trade-secrecy-5tkh9x0vq6e4","2024","Journal Article","Journal of Accounting Research","Arnoud W. A. Boot
Vladimir Vladimirov","10.1111/1475-679x.12580","","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Compares patents vs trade secrets, showing how nondisruptive patents boost cooperation while firms shift to secrecy for disruptive work. Uses firm‑level data after a patent‑application disclosure reform, reporting markup rises and patent composition changes, but lacks a single‑company narrative and granular numbers or timelines.","Abstract Patent applications often reveal proprietary information to competitors, but does such disclosure harm firms or also benefit them? We develop and empirically support a theory showing that when firms patent enhancements to incumbent, nondisruptive technologies, they can cooperate more easily on these technologies, increasing their profitability. The downside of cooperating on nondisruptive technologies is that the investment in and commitment to disruptive technologies decline. To improve their commitment to disruptive technologies, some firms rely more on trade secrecy. We provide empirical support for these predictions. We document that after a patent reform that made information about patent applications widely accessible, firms cooperate more and charge higher markups. Furthermore, the nature of patented innovation has changed, with the proportion of nondisruptive patents increasing substantially. Finally, while some firms start patenting more, others patent less and rely more on trade secrecy, with the response depending on the attractiveness of firms' innovation prospects. "
"Intellectual Property Protection and Financial Markets: Patenting vs. Secrecy","https://scispace.com/paper/intellectual-property-protection-and-financial-markets-2smqmqmm05","2015","Journal Article","Social Science Research Network","Nishant Dass
Vikram K. Nanda
Steven Chong Xiao","10.2139/SSRN.2517838","https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID3200854_code17302.pdf?abstractid=3200854&mirid=1","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses cross‑state trade‑secret statutes and TRIPS to compare patent vs secrecy effects on market outcomes, but lacks firm‑level case data, concrete numbers, or sector‑specific details.","Firms can protect intellectual property (IP) either by keeping inventions secret or by patenting the IP, which entails detailed information disclosure. Our hypothesis is that the firm's choice between secrecy and patenting is influenced by the relative protection provided, which then has distinct implications for stock liquidity and equity financing. Stronger IP-protection through trade secrets (patents) is expected to encourage firms to rely more (less) on secrecy, thus increasing (reducing) information asymmetry and stock illiquidity. Our empirical findings are supportive: exogenous, staggered passage of state-level statutes that strengthen trade-secret protection result in: fewer patent applications, increased opaqueness, greater stock illiquidity, and worse announcement reaction to seasoned equity offerings (SEOs). By contrast, implementation of the international Agreement on Trade-Related Aspects of Intellectual Property Rights (a.k.a. TRIPS), that strengthened patent-protection, is followed by an increase in patenting, enhanced transparency, greater stock liquidity, and a less negative stock-market reaction to SEOs."
"Protecting innovation through patents and trade secrets : determinants and performance impacts for firms with a single innovation","https://scispace.com/paper/protecting-innovation-through-patents-and-trade-secrets-2l6ho3jakp","2016","Journal Article","Social Science Research Network","Dirk Crass
Francisco Garcia Valero
Francesco Pitton
Christian Rammer","10.2139/SSRN.2844731","https://scispace.com/pdf/protecting-innovation-through-patents-and-trade-secrets-2l6ho3jakp.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses survey data to compare patents and secrecy impacts on cost reductions and profitability. Provides firm‑level observations for single‑innovation firms, but lacks detailed company narratives, numeric timelines, or specific IP‑choice scenarios.","This paper tests a number of hypotheses on the use and effectiveness of patents and trade secrets designed to protect innovation. While previous studies have often considered patents and trade secrets as substitutes for one another, we investigate the complementary role of the two protection methods. We identify protection strategies for single innovation firms and hence overcome the assignment problem of existing empirical studies, i.e. whether firms using both protection methods do so for the same innovation or for different innovations. Employing firm panel data from Germany, we find fairly few differences between the determinants for choosing secrecy and patenting. Single innovators that combine both strategies, 39% of the group, tend to aim at a higher level of innovation and act in a more uncertain technological environment. Firms combining both protection methods yield
significantly higher sales with new-to-market innovations. Using only secrecy has slightly
stronger positive impacts on firm profitability."
"Why Do Startups Use Trade Secrets","https://scispace.com/paper/why-do-startups-use-trade-secrets-5nzcjhqztq","2018","Journal Article","Social Science Research Network","David S. Levine
David S. Levine
Ted M. Sichelman","10.2139/SSRN.3166834","https://scispace.com/pdf/why-do-startups-use-trade-secrets-5nzcjhqztq.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses startups' strategic motives to contrast patents and trade secrets, cites sector examples (software, pharma) but lacks firm‑level data and concrete numbers or timelines.","Empirical studies of the use of trade secrecy are scant, and those focusing on startups, non-existent. In this paper, we present the first set of data — drawn from the Berkeley Patent Survey — on the use of trade secrets by U.S. startup companies in the software, biotechnology, medical device, and hardware industries. Specifically, we report on the prevalence of trade secrecy usage among startups. Additionally, we assess the importance of trade secrets in relation to other forms of intellectual property protection and barriers to entry, such as patents, copyrights, first-mover advantage, and complementary assets. We segment these results by a variety of factors, including industry, company business model, overall revenue, patenting propensity, funding sources, innovation types, and licensing. From this segmentation, we implement a basic regression model and report on those factors showing a statistically significant relationship in the use of trade secrets by startups. Our results point to three major findings. First, trade secrecy serves other important aims aside from first-mover advantage. Second, trade secrets may act both as economic complements and substitutes to patenting. Third, trade secrets may serve as important strategic assets, functioning much in the same manner as patents in terms of licensing and setting the boundaries of the firm."
"Decision and Implementation of Proper Intellectual Property Protection for Biopharmaceuticals Company","https://scispace.com/paper/decision-and-implementation-of-proper-intellectual-property-hrxyw0e0b23k","","","","谢建平","10.3969/j.issn.1671-8135.2003.03.020","","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Compares patents, trade secrets, and defensive publishing with decision procedures; mentions illustrative company‑type examples but lacks concrete data; provides no specific numbers, timelines, or regulatory details.","以专利为主的知识产权是生物技术和现代生物医药公司竞争优势的基础.必需结合公司的长远战略目标和目前实际,遵循成本效益原则,通盘考虑知识产权保护方式.以技术平台、药物、生物信息学软件发明等为例,介绍了商业秘密、专利和防御性出版等三种保护方式及其决策程序以及实施方案."
"Deciding Between Patent or Trade Secret Protection","https://scispace.com/paper/deciding-between-patent-or-trade-secret-protection-xrjz70dtfi","2014","Book Chapter","","Gerald B. Halt
Robert Fesnak
John C. Donch
Amber R. Stiles","10.1007/978-1-4614-7912-3_8","","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides a thorough conceptual comparison of patents vs. trade secrets, but lacks real‑company data, concrete scenarios, and specific industry or technical details.","Many companies use both patents and trade secrets to protect inventions. However, since these two forms of protection are mutually exclusive in a fundamental regard (i.e., whether or not to disclose an invention), companies must often chose between the two forms of protection. Each has advantages over the other that should be carefully considered when forming the appropriate intellectual property strategy."
"The Choice between Formal and Informal Intellectual Property: A Literature Review","https://scispace.com/paper/the-choice-between-formal-and-informal-intellectual-property-2vklkj3l1n","2012","Report","Social Science Research Network","Bronwyn H. Hall
Christian Helmers
Christian Helmers
Mark Rogers
Mark Rogers
Vania Sena","10.3386/W17983","https://scispace.com/pdf/the-choice-between-formal-and-informal-intellectual-property-2vklkj3l1n.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses firm‑level panel data to compare patents and trade secrets, discusses legal changes and spillover effects; lacks a focused company case with concrete numbers or timelines.","We survey the economic literature, both theoretical and empirical, on the choice of intellectual property protection by firms. Our focus is on the tradeoffs between using patents and disclosing versus the use of secrecy, although we also look briefly at the use of other means of formal intellectual property protection."
"Why Do Startups Use Trade Secrets","https://scispace.com/paper/why-do-startups-use-trade-secrets-2ueu829ebo","2019","Journal Article","Notre Dame Law Review","David S. Levine
Ted M. Sichelman","","https://scispace.com/pdf/why-do-startups-use-trade-secrets-2ueu829ebo.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses comparative discussion of patents vs trade secrets for startups, highlighting investor signaling and risk of independent patenting; lacks real‑company data, detailed numbers, or specific scenarios; mentions reverse‑engineering concerns but not in depth.","Empirical studies of the use of trade secrecy are scant, and those focusing on startups, non-existent. In this paper, we present the first set of data — drawn from the Berkeley Patent Survey — on the use of trade secrets by U.S. startup companies in the software, biotechnology, medical device, and hardware industries. Specifically, we report on the prevalence of trade secrecy usage among startups. Additionally, we assess the importance of trade secrets in relation to other forms of intellectual property protection and barriers to entry, such as patents, copyrights, first-mover advantage, and complementary assets. We segment these results by a variety of factors, including industry, company business model, overall revenue, patenting propensity, funding sources, innovation types, and licensing. From this segmentation, we implement a basic regression model and report on those factors showing a statistically significant relationship in the use of trade secrets by startups. Our results point to three major findings. First, trade secrecy serves other important aims aside from first-mover advantage. Second, trade secrets may act both as economic complements and substitutes to patenting. Third, trade secrets may serve as important strategic assets, functioning much in the same manner as patents in terms of licensing and setting the boundaries of the firm."
"Trade secrets and trade-secret licensing.","https://scispace.com/paper/trade-secrets-and-trade-secret-licensing-2o9vukphpj","2007","","","K. F. Jorda
A. Krattiger
R. T. Mahoney
L. Nelsen
J. A. Thomson
Alan B. Bennett
K. Satyanarayana
Gregory D. Graff
C. Fernandez
Stanley P. Kowalski","","","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses comparative discussion of patents vs. trade secrets; lacks company data, concrete numbers, or specific risk/sector analyses.","Exploiting the overlap between intellectual property (IP) categories, especially between patents and trade secrets, is an important facet of IP management. Patents (which require full disclosure) and trade secrets (which are kept confidential) are not incompatible. On the contrary, they can complement one another: patents protect inventions and trade secrets protect collateral know-how. Using patent and trade-secret protection together in a synergistic manner results in a potent exclusivity. Moreover, as licensing has become the preferred instrument for technology transfer, most technology licenses are hybrids, covering both patents and trade secrets. This situation has evolved because licenses that cover patents but do not allow access to collateral know-how usually do not permit patented technology to become commercialized. Despite the ease of obtaining trade-secret protection—immediate efficacy and low cost—this type of IP protection is too often neglected. HANDBOOK OF BEST PRACTICES | 1043 acquired by, or used by others without their consent in a manner contrary to honest commercial practices so long as such information: (a) is secret in the sense that it is not, as a body or in the precise configuration and assembly of its components, generally known among or readily accessible to persons within the circles that normally deal with the kind of information"
"Patenting by Entrepreneurs: An Empirical Study","https://scispace.com/paper/patenting-by-entrepreneurs-an-empirical-study-3dch6fi4bt","2010","Journal Article","Michigan Telecommunications and Technology Law Review","Ted M. Sichelman
Stuart J.H. Graham","","https://scispace.com/pdf/patenting-by-entrepreneurs-an-empirical-study-3dch6fi4bt.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Pilkington Glass and other firms to discuss patent vs trade‑secret trade‑offs, but provides limited concrete data or timelines; lacks detailed numeric scenario.",""
"Trade Secrets in Biologic Medicine","https://scispace.com/paper/trade-secrets-in-biologic-medicine-2cvvo4md","2023","Journal Article","Science and Technology Law Review","Robin Feldman","10.52214/stlr.v24i1.10455","","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses comparative discussion of patents vs trade secrets in biologics, but lacks empirical company data and concrete scenario details; touches on FDA disclosure and process secrecy.","Can something be both open and secret? That is the conundrum facing society as trade secret rights chafe against patent rights in cutting-edge, biologic medicine. The conflict is unsurprising. Trade secret has emerged as a relatively late bloomer among the family of intellectual property rights and only recently has begun to establish the boundaries of its own space, a process in which it will inevitably knock against other intellectual property doctrines already occupying their own domains. Nor is it surprising that the clash would arise in a fast-moving area of medical science. From insulin products, to cancer treatments, to mRNA vaccines, companies are staking the health of their  companies on biologics.
There is a dearth of legal literature on the topic of trade secrets in the biologic space and almost nothing regarding how trade secrets interact with the patent system in that domain. These scientific and legal areas are sufficiently complex that even the most intrepid scholars fear to tread. This article explains in detailed and accessible language how the systems are working together to the detriment of society.
To address the problem, this article argues that a company receiving a patent on a drug product should be required to disclose the full range of trade secrets necessary to make that drug. As the descriptions below will explain, patent applicants are able to satisfy the patent requirement of providing sufficient disclosure that “one skilled in the art can make and use” the invention, without actually providing the information to do so. The surrounding regulatory systems intended to facilitate sharing of clinical trial data suffer the same problem.
As is frequently said in biologics, “the process is the product.” In other words, the only way to define something derived from elements of living organisms is by describing the process of producing it. Thus, lack of process information is particularly problematic with biologics. Being faithful to the theoretical underpinnings of the intellectual property regimes requires a resolution of this problem and the establishment of a more effective boundary line between trade secrets and patents for biologic medicine."
"Do innovative firms rely on big secrets? An analysis of IP protection strategies with the CIS 4 survey","https://scispace.com/paper/do-innovative-firms-rely-on-big-secrets-an-analysis-of-ip-7ktz2siw83","2016","Journal Article","Economics of Innovation and New Technology","Serge Pajak","10.1080/10438599.2015.1080902","","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses CIS‑4 survey data to compare patenting versus secrecy decisions, showing large innovations favor secrecy and small ones favor patents. Lacks firm‑level case studies and concrete scenario details.","Innovative companies have a variety of instruments at their disposal to protect themselves from imitators, and this paper investigates the determinants of the protection choices with a focus on highly innovative respondents. While the patent system's aim is that firms apply to patent their innovations, especially the most important ones, theoretical results in the existing literature suggest that large innovations will rather be protected by secrecy because of the legal uncertainty surrounding intellectual property rights. In line with the predictions of their model, our probit analysis conducted using data from the Community Innovation Survey 4 shows that, in the intermediate goods industry, small innovations are patented while secrecy is used to protect large ones. For very innovative small firms, the share of innovative sales in total sales has a negative effect on patent application. These findings support the view that many innovative firms regard patent filing as no more secure than secrecy,..."
